FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
256,"然","sort of thing",2022-08-24 08:34:47,2022-12-15,7,0,6
257,"荻","reed",2022-10-01 10:51:32,2022-11-29,6,0,7
258,"狩","hunt",2022-09-01 08:00:30,2022-12-03,7,0,6
259,"猫","cat",2022-09-01 19:12:11,2022-12-07,7,0,6
260,"牛","cow",2022-09-07 07:57:31,2023-01-10,7,0,6
261,"特","special",2022-10-08 10:07:15,2022-11-27,6,0,7
262,"告","revelation",2022-09-01 08:43:09,2022-12-29,7,0,6
263,"先","before",2022-08-26 20:51:18,2022-12-01,7,0,6
264,"洗","wash",2022-09-07 07:44:50,2023-01-02,7,0,6
265,"介","jammed in",2022-09-19 07:49:47,2023-01-10,7,1,6
266,"界","world",2022-09-16 08:10:05,2023-01-03,7,1,6
267,"茶","tea",2022-09-06 07:53:24,2023-01-07,7,0,7
268,"脊","spinal column (skip)",2022-08-30 19:44:23,2022-08-30,1,1,0
269,"合","fit",2022-08-30 20:31:10,2022-12-29,7,0,6
270,"塔","pagoda",2022-11-02 10:53:10,2023-02-27,7,1,10
271,"王","king",2022-09-01 08:00:30,2023-01-02,7,0,6
272,"玉","jewel",2022-09-05 07:30:29,2022-12-09,7,0,6
273,"宝","treasure",2022-11-23 10:18:42,2022-12-08,4,0,10
274,"珠","pearl",2022-09-06 08:17:47,2022-12-24,7,0,6
275,"現","present time",2022-09-10 08:49:46,2023-01-13,7,1,7
276,"玩","toy",2022-09-05 07:30:29,2022-12-07,7,0,6
277,"狂","lunatic",2022-10-03 11:06:55,2022-11-26,6,0,7
278,"旺","effulgent",2022-09-01 08:43:09,2022-12-26,7,0,6
279,"皇","emperor",2022-09-19 08:28:51,2023-01-22,7,0,6
280,"呈","display",2022-09-07 07:57:31,2022-12-22,7,0,6
281,"全","whole",2022-09-08 07:54:55,2023-01-05,7,0,6
282,"栓","plug",2022-11-11 13:38:57,2023-02-24,7,0,8
283,"理","logic",2022-09-09 07:35:55,2023-01-05,7,1,7
284,"主","lord",2022-09-13 08:19:51,2023-01-02,7,0,6
285,"注","pour",2022-09-11 08:31:36,2022-12-20,7,0,6
286,"柱","pillar",2022-09-13 08:29:45,2022-12-27,7,0,6
287,"金","gold",2022-09-03 08:17:13,2023-01-07,7,0,6
288,"銑","pig iron",2022-09-27 21:39:29,2023-01-02,7,1,8
289,"鉢","bowl",2022-11-18 20:36:22,2022-11-27,3,0,8
290,"銅","copper",2022-08-28 16:01:09,2022-12-05,7,0,6
291,"釣","angling",2022-09-03 08:17:13,2023-01-01,7,0,6
292,"針","needle",2022-09-08 08:20:59,2022-12-28,7,0,6
293,"銘","inscription",2022-10-23 12:20:09,2023-01-30,7,1,9
294,"鎮","tranquillize",2022-10-23 12:53:28,2022-12-21,6,0,11
295,"道","road-way",2022-09-17 10:57:52,2023-01-12,7,1,6
296,"導","guidance",2022-09-30 08:05:43,2023-01-30,7,1,8
297,"辻","crossing",2022-09-03 08:26:59,2022-12-07,7,0,6
298,"迅","swift",2022-09-17 11:14:32,2022-12-21,7,1,7
299,"造","create",2022-09-18 18:00:56,2022-12-24,7,0,6
300,"迫","urge",2022-09-10 08:35:42,2022-12-20,7,0,6
301,"逃","escape",2022-09-16 08:40:40,2023-01-12,7,1,7
302,"辺","environs",2022-09-02 21:10:04,2022-12-18,7,0,6
303,"巡","patrol",2022-09-07 08:08:17,2022-12-15,7,0,6
304,"車","car",2022-09-16 08:21:00,2023-01-11,7,0,6
305,"連","take along",2022-09-07 07:57:31,2023-01-05,7,0,6
306,"軌","rut",2022-09-05 07:30:29,2022-12-12,7,1,6
307,"輸","transport",2022-09-10 08:17:19,2022-12-23,7,0,6
308,"喩","metaphor",2022-09-08 07:54:55,2022-12-11,7,0,6
309,"前","in front",2022-09-02 21:03:24,2022-12-24,7,0,6
310,"煎","roast",2022-10-09 20:37:24,2023-01-22,7,0,8
311,"各","each",2022-09-10 08:49:46,2023-01-03,7,0,6
312,"格","status",2022-09-15 08:14:13,2022-12-16,7,0,8
313,"賂","graft",2022-09-11 09:30:29,2023-01-14,7,0,6
314,"略","abbreviation",2022-10-06 21:45:03,2022-11-25,6,0,7
315,"客","guest",2022-09-08 07:54:55,2023-01-05,7,0,6
316,"額","forehead",2022-09-07 08:04:20,2022-12-19,7,0,6
317,"夏","summer",2022-09-25 12:37:37,2022-12-27,7,1,6
318,"処","dispose",2022-10-12 10:29:09,2023-02-05,7,0,8
319,"条","twig",2022-09-21 21:23:36,2023-01-04,7,0,6
320,"落","fall",2022-10-01 10:39:20,2023-02-02,7,1,7
321,"冗","superfluous",2022-09-11 08:52:23,2022-12-23,7,0,6
322,"冥","Hades (skip)",2022-09-15 08:14:43,2022-09-15,1,1,0
323,"軍","army",2022-09-07 07:40:01,2022-12-12,7,0,6
324,"輝","radiance",2022-10-29 20:46:56,2023-02-02,7,0,8
325,"運","carry",2022-10-05 20:33:59,2022-11-28,6,0,7
326,"冠","crown",2022-09-14 08:02:51,2022-12-30,7,2,7
327,"夢","dream",2022-09-17 10:36:35,2023-01-19,7,0,6
328,"坑","pit",2022-09-19 08:11:27,2023-01-20,7,0,6
329,"高","tall",2022-09-11 09:30:29,2023-01-15,7,0,6
330,"享","receive",2022-09-11 09:30:29,2022-12-19,7,0,6
331,"塾","cram school",2022-09-20 07:53:34,2023-01-07,7,0,6
332,"熟","mellow",2022-09-11 09:10:53,2022-12-19,7,0,6
333,"亭","pavilion",2022-09-23 20:39:36,2023-01-01,7,0,6
334,"京","capital",2022-09-18 17:55:49,2023-01-15,7,0,6
335,"涼","refreshing",2022-09-03 08:10:28,2022-12-27,7,0,6
336,"景","scenery",2022-09-16 08:10:05,2023-01-08,7,0,6
337,"鯨","whale",2022-09-17 10:41:20,2022-12-26,7,0,6
338,"舎","cottage",2022-09-19 07:58:18,2023-01-09,7,1,7
339,"周","circumference",2022-09-15 07:51:02,2022-12-25,7,0,6
340,"週","week",2022-10-01 10:09:55,2023-01-21,7,1,8
341,"士","gentleman",2022-09-13 08:16:17,2022-12-14,7,0,6
342,"吉","good luck",2022-09-12 07:49:19,2023-01-04,7,0,6
343,"壮","robust",2022-11-14 21:41:42,2023-01-14,6,0,9
344,"荘","villa",2022-09-12 08:41:31,2022-12-19,7,0,6
345,"売","sell",2022-10-12 08:52:24,2022-12-01,6,0,7
346,"学","study",2022-09-08 08:17:06,2022-12-26,7,0,6
347,"覚","memorize",2022-09-26 08:32:49,2023-01-25,7,1,6
